timestamp,elapsed,face_detected,left_ear,right_ear,average_ear,smoothed_ear,closing_threshold,opening_threshold,eye_state,closure_duration,blink_event,blink_count
0.0038,0.0038,1,0.35307,0.3211,0.33708,0.33708,0.27368,0.32197,OPEN,,0,0
0.0634,0.0634,1,0.35306,0.32386,0.33846,0.33777,0.27368,0.32197,OPEN,,0,0
0.0946,0.0946,1,0.34569,0.3214,0.33355,0.33708,0.27368,0.32197,OPEN,,0,0
0.1223,0.1223,1,0.34831,0.32858,0.33845,0.33845,0.27368,0.32197,OPEN,,0,0
0.1521,0.1521,1,0.34761,0.3251,0.33635,0.33635,0.27368,0.32197,OPEN,,0,0
0.1781,0.1781,1,0.3498,0.32922,0.33951,0.33845,0.27368,0.32197,OPEN,,0,0
0.2097,0.2097,1,0.35137,0.32916,0.34027,0.33951,0.27368,0.32197,OPEN,,0,0
0.2455,0.2455,1,0.35082,0.32717,0.339,0.33951,0.27368,0.32197,OPEN,,0,0
0.2783,0.2783,1,0.34492,0.32545,0.33518,0.339,0.27368,0.32197,OPEN,,0,0
0.3059,0.3059,1,0.34519,0.32318,0.33418,0.33518,0.27368,0.32197,OPEN,,0,0
0.3389,0.3389,1,0.34553,0.32182,0.33367,0.33418,0.27368,0.32197,OPEN,,0,0
0.3651,0.3651,1,0.34389,0.32295,0.33342,0.33367,0.27368,0.32197,OPEN,,0,0
0.3936,0.3936,1,0.3461,0.32666,0.33638,0.33367,0.27368,0.32197,OPEN,,0,0
0.4197,0.4197,1,0.34687,0.32685,0.33686,0.33638,0.27368,0.32197,OPEN,,0,0
0.4536,0.4536,1,0.34613,0.3268,0.33646,0.33646,0.27368,0.32197,OPEN,,0,0
0.4812,0.4812,1,0.34612,0.32515,0.33564,0.33646,0.27368,0.32197,OPEN,,0,0
0.5174,0.5174,1,0.34694,0.32548,0.33621,0.33621,0.27368,0.32197,OPEN,,0,0
0.5453,0.5453,1,0.34859,0.32644,0.33751,0.33621,0.27368,0.32197,OPEN,,0,0
0.5759,0.5759,1,0.35233,0.32742,0.33987,0.33751,0.27368,0.32197,OPEN,,0,0
0.614,0.614,1,0.35248,0.32763,0.34005,0.33987,0.27368,0.32197,OPEN,,0,0
0.6501,0.6501,1,0.36218,0.33813,0.35015,0.34005,0.27368,0.32197,OPEN,,0,0
0.6795,0.6795,1,0.35677,0.33945,0.34811,0.34811,0.27368,0.32197,OPEN,,0,0
0.7133,0.7133,1,0.35339,0.33993,0.34666,0.34811,0.27368,0.32197,OPEN,,0,0
0.7396,0.7396,1,0.35355,0.34027,0.34691,0.34691,0.27368,0.32197,OPEN,,0,0
0.7675,0.7675,1,0.35203,0.33952,0.34577,0.34666,0.27368,0.32197,OPEN,,0,0
0.7918,0.7918,1,0.35436,0.33952,0.34694,0.34691,0.27368,0.32197,OPEN,,0,0
0.8236,0.8236,1,0.35381,0.33581,0.34481,0.34577,0.27368,0.32197,OPEN,,0,0
0.882,0.882,1,0.36933,0.34193,0.35563,0.34694,0.27368,0.32197,OPEN,,0,0
0.9134,0.9134,1,0.37849,0.35004,0.36427,0.35563,0.27368,0.32197,OPEN,,0,0
0.9472,0.9472,1,0.39616,0.36373,0.37995,0.36427,0.27368,0.32197,OPEN,,0,0
0.9756,0.9756,1,0.40175,0.37028,0.38602,0.37995,0.27368,0.32197,OPEN,,0,0
1.0079,1.0079,1,0.39329,0.36542,0.37935,0.37995,0.27368,0.32197,OPEN,,0,0
1.0403,1.0403,1,0.40275,0.37073,0.38674,0.38602,0.27368,0.32197,OPEN,,0,0
1.0711,1.0711,1,0.40117,0.37156,0.38637,0.38637,0.27368,0.32197,OPEN,,0,0
1.1027,1.1027,1,0.40043,0.37212,0.38628,0.38637,0.27368,0.32197,OPEN,,0,0
1.1257,1.1257,1,0.40264,0.37408,0.38836,0.38637,0.27368,0.32197,OPEN,,0,0
1.1552,1.1552,1,0.40282,0.37445,0.38863,0.38836,0.27368,0.32197,OPEN,,0,0
1.1848,1.1848,1,0.40465,0.37617,0.39041,0.38863,0.27368,0.32197,OPEN,,0,0
1.2166,1.2166,1,0.40283,0.3764,0.38962,0.38962,0.27368,0.32197,OPEN,,0,0
1.2805,1.2805,1,0.40628,0.38009,0.39318,0.39041,0.27368,0.32197,OPEN,,0,0
1.3125,1.3125,1,0.40811,0.3809,0.39451,0.39318,0.27368,0.32197,OPEN,,0,0
