manual_blink_index,timestamp_seconds
1,6.3351
2,7.5352
3,8.647
4,9.8689
5,14.7683
6,16.0733
7,17.4693
8,18.6798
9,23.3529
10,24.9535
11,26.3628
12,30.0222
13,31.4645
14,32.7648
15,34.2707
16,35.7676
17,37.2714
18,38.7266
19,40.1432
20,41.514
21,43.0099
22,44.3922
23,45.7191
24,47.2874
25,74.3484
26,94.4049
27,95.8225
28,97.3253
29,98.6823
30,100.9865
31,101.8947
32,102.9903
33,103.6925
34,104.4862
35,104.7973
36,105.0363
37,105.3212
38,105.5977
39,105.8424
40,106.132
41,106.5042
42,111.5564
43,115.9102
44,117.46
45,118.5238
46,119.9107
